汉字,词义
没落,没落
ぽつり,水滴落貌
火照る,脸
補填,填补
程,分寸
程,……程度
歩道,人行道
解く,解开
仏,佛
施す,给与
杜鵑，時鳥，子規，郭公，不如帰,杜鹃
程なく,不一会儿
迸る,进出
ほとほと,实在
程程,适度
程よい,适当
辺,边
殆ど,几乎
穂波,麦浪
哺乳,哺乳
骨,骨头
骨惜しみ,不肯吃苦
骨折り,不辞劳苦
骨組み,骨骼
骨身,骨肉
炎,火
仄か,略微
ほの暗い,微暗
仄々,朦胧
仄めかす,稍微透露
歩兵,步兵
頬,脸颊
保母,保育员
略,大致
微笑ましい,有趣的
微笑む,微笑
誉,名誉
褒める，誉める,称赞
ぼやく,嘟囔
ぼやける,模糊
ほやほや,热乎乎
保有,持有
保養,疗养
ほら,喂！瞧！
洞,洞
法螺,海螺
洞穴,洞穴
堀，濠,护城河
掘り炬燵,地炉
彫り物,雕刻
保留,保留
捕虜,俘虏
掘る,挖
彫る,雕刻
惚れ込む,看中
惚れ惚れ,迷恋
惚れる,迷恋
幌,车篷
襤褸,褴褛
ほろ苦い,味稍苦的
滅びる，亡びる,灭亡
滅ぼす,使灭亡
ほろほろ,花
ぼろぼろ,破烂不堪
ぼろ儲け,发横财
ほろ酔い,微醉
ほろり,滚落状
本,书
盆,盆
本位,本位
本意,本意
本科,本科
本格,根本的规则
本気,认真
本業,正业
盆暮れ,盂兰盆节与岁末
本家,本支
盆景,盆景
梵語,梵语
本腰,真正的干劲
盆栽,盆栽
本質,本质
本日,今日
本社,总社
本性,本性
本職,本职
本心,知觉
凡人,凡人
本筋,正道
奔走,奔走
本体,原形
盆地,盆地
本当,真正
本人,本人
本音,原本的音色
本能,本能
煩悩,烦恼
ほんのり,微微
本場,主要产地
本部,本部
本文,本文
奔放,奔放
本末,本末
本名,真名
本命,赛马等的优胜候补者
本物,真货
本文,正文
本屋,主房
翻訳,翻译
ぼんやり,隐隐约约
本来,本来
本領,特长
翻弄,翻弄
毎,每
枚挙,枚举
迷子,走丢的孩子
舞い込む,飞进
邁進,迈进
埋葬,埋葬
埋蔵,埋藏
真一文字,笔直
毎度,每次
埋没,埋于
参る,来
舞う,舞蹈
前,正前方
前売り,预先售票
前置き,前言
前金,定金
前払い,预付
前触れ,预告
前向き,朝前
前もって,事先
紛い物,赝品
負かす,打败
任せる,委托
賄い,供给伙食
賄う,供给
摩訶不思議,离奇
間借り,租用房间
罷り出る,退下
罷り通る,大模大样地通过
曲がる,弯曲
薪,柴火
蒔絵,泥金画
巻き込む,卷入
巻添え,株连
牧場,牧场
紛らす,掩饰
紛らわしい,不易分辨的
紛れ込む,混入
紛れもない,毋庸置疑
紛れる,混入
間際,正要……只时
巻く,绕上，包上
撒く,撒
蒔く，播く,播
幕,幕布
間口,房屋
枕,枕头
枕木,枕木
枕詞,和歌中的修饰词
捲る,卷起
鮪,金枪鱼
髷,发髻
負け惜しみ,不认输
負け嫌い,不认输
負ける,输
曲げる,弯曲
負けん気,争强好胜的性格
孫,孙子
真心,真心
まごつく,张皇失措
誠，真,真实
誠に，真に,的确
まごまご,打转转
まさか,万一
正しく,确实
摩擦,摩擦
正に,的确
まざまざ,历历在目
増さる,增加
交ざる，混ざる，雑ざる,掺杂，混杂
増し,增加
交える,夹杂
況して,何况
呪い,符咒
まじまじ,目不转睛地
真面目,认真
魔術,魔术，妖术
魔女,魔术师
交じる，混じる，雑じる,混
交わる,交叉
増す，益す,增加
先ず,最初
麻酔,麻醉
不味い,难吃的
貧しい,贫穷
益益,越发
先ず先ず,好歹
老成る,老成
交ぜる，混ぜる,掺入
叉,分岔处
股,胯股
又,别
未だ,还
跨る,跨
跨ぐ,跨过
瞬く,眨眼
又な,或是
又又,又
未だ未だ,还
斑,斑点
街，町,城镇
待ち合わせる,等候会面
間近,临近
間違い,错误
間違う,弄错
間違える,弄错
街角，町角,街头
待ち兼ねる,焦急地等待
町並,房屋的排列情况
待ち望む,期盼
待ち惚け,白等
区区,各式各样
真っ,真
松,松
待つ,等待
末裔,后裔
真っ赤,赤红
松飾り,新年装饰正门的松枝
末期,末期
真っ暗,漆黑
真っ黒,乌黑
睫，睫毛,睫毛
末期,临终
抹殺,抹掉
まっしぐら,勇往直前
真っ白,雪白
真っ直ぐ,笔直
全く,完全
松茸,松蘑
真っ直中,正中间
抹茶,末茶
末尾,末尾
末筆,顺致
真っ平,断然拒绝
末葉,后裔
祭り,祭奠
祭る,祭祀
纏わる,缠绕
的,靶子
窓,窗户
纏う,缠绕
惑う,困惑
窓口,窗口
纏まる,集中
纏める,汇集
正面,正面
惑わす,蛊惑
俎板,俎板
眼,眼珠
眼差し,眼神
真夏,盛夏
学ぶ,学习
愛娘,掌上明珠
間に合う,赶上
免れる,避免
間抜け,愚蠢
真似,模仿
招く,招呼
真似る,模仿
目の当たり,直接
瞬き,眨眼
目映い，眩い,耀眼的
疎ら,稀疏
麻痺,麻痹
間引く,间苗
眩しい,晃眼
瞼,眼皮
真冬,隆冬
魔法,魔术
幻,虚幻
まま,原封不动
まま親,继父母
継子,继子
塗れ,浑身
塗れる,满身都是
豆,豆子
忠実,勤勤恳恳
肉刺,上的水泡
豆撒き,撒豆
まめまめしい,踏实
魔物,妖魔
守り，護り,守卫
守る，護る,保卫
麻薬,毒品
眉,眉毛
繭,茧
眉毛,眉毛
迷う,迷失没能成佛
魔除け,辟邪
真夜中,深夜
迷わす,蛊惑
毬，鞠,球
魔力,魔力
丸,圆
丸い，円い,圆形的
丸木,原木
丸きり,全然
丸腰,徒手
丸ごと,整个儿
丸出し,全部露出
丸で,好像
丸まる,变圆
丸丸,全部
丸み,圆形
丸める,弄圆
稀，希,稀少
円やか,圆圆的
回し者,间谍
回す，廻す,旋转
真綿,丝棉
回り,旋转
回りくどい,拐弯抹角
回り遠い,绕远
回り道,绕道
回る，廻る,转
満,满
万一,万一
満員,客满
蔓延,蔓延
漫画,漫画
満開,盛开
満喫,饱餐
万華鏡,万花筒
満月,满月
漫才,相声
満更,不一定
饅頭,馒头
慢性,慢性
満足,满足
満点,满分
真中,当中
万年筆,自来水笔
万引き,在商店等场所行窃的人
満腹,饱腹
まんまと,巧妙地
真ん丸,圆溜溜
漫遊,漫游
満了,期满
見合い,相抵
見合う,对着看
見上げる,仰望
見合わせる,互看
見入る，魅入る,凝视
見受ける,看起来
身動き,动弹身体
見失う,迷失
身内,全身
見栄,门面
見得,亮相
見え隠れ,忽隐忽现
見栄っ張り,追求虚荣的人
見え見え,显然
見える,看得见
見送る,送行
見落とす,忽略过去
見劣り,逊色
見下ろす,俯瞰
未開,未开化
見限る,放弃
味覚,味觉
磨く，研く,磨光
見掛け,外表
見かける,见到
見方,看法
味方,我方
三日月,月牙
帝,皇帝
身軽,轻便
蜜柑,桔子
幹,树干
神酒，御酒,美酒
右,右
見切り,断念
見切る,看完
汀,水边
見下す,看不起
見縊る,轻视
見苦しい,难看的
身ぐるみ,所有衣服
未決,尚未决定
巫女,女巫
神輿，御輿,神较
見越す,预料
見事,精彩
見込み,希望
見込む,期待
身ごもる，妊る,怀孕
見頃,正是观赏的时候
未婚,未婚
操,贞操
岬,岬
見下げる,蔑视
見定める,看准
短い,短
身支度,打扮
惨め,悲惨
未熟,尚未成熟
未詳,不详
身知らず,不自量
見知る,见过
微塵,微小
水,水
水揚げ,卸货
未遂,未遂
水入らず,无外人
水色,浅蓝色
湖,湖
見据える,定睛而视
水掻き，蹼,蹼
見透かす,看透
自ら,自身
水着,游泳衣
水際,水边
水臭い,水多味不浓
見過ごす,视而不见
水差し,水壶
水商売,不稳定职业，主要指酒馆
見ず知らず,素昧平生
水溜,水洼
水っぽい,水分多而味淡
見捨てる,抛弃
水の泡,水泡
水辺,水边
みすぼらしい,寒碜
水増し,掺水充数
瑞々しい,娇嫩
水虫,水中的小虫
水物,饮料
魅する,吸引
水割り,兑水
店,店
未成年,未成年
見せ掛ける,假装
店先,店头
見せびらかす,炫耀
見世物,小节目
見せる,出示
未然,未然
味噌,豆酱
溝,水沟
未曾有,空前
晦日,月末
禊,在河水中洗浴净身
見損なう,看错
霙,雨夹雪
身丈,身高
見出し,索引
満たす,填满
乱す,搅乱
見立てる,挑选
淫ら,淫乱
御手洗,洗手
乱れる,混乱
道,道路
未知,未知
身近,身边
見違える,认不出来
満ち欠け,盈亏
道草,路旁的草
道筋,道路
満ち足りる,满意
道端,路边
導く,领进
未着,尚未送到
満ちる,充满
蜜,蜂蜜
密,密集
三日,三天
見付かる,被发现
貢ぐ,进贡
見付ける,看惯
三つ子,三胞胎
密航,偷渡
密告,检举
密接,紧挨着
密着,紧密结合
三つ,三个
密度,密度
みっともない,丑陋的
密入国,偷渡入境
密売,私自贩卖
見詰める,注视
見積もり,估计
見積もる,估量
密輸,走私
未定,未定
未到,未到达
未踏,足迹未到
見通し,瞭望
見通す,看完
見咎める,查问
見所,精彩场面
見届ける,看到
認める,看到
緑,绿
嬰児,婴儿
見取る,看准
見惚れる,看得入迷
皆,各位
見直す,好转
漲る,涨满
見なす,看作
港,港口
南,南
源,水源
見習う,学习
身形,身材
見慣れる,看惯
醜い,丑陋
見抜く,看穿
峰,山顶
蓑,蓑衣
未納,未交
身の上,身世
見逃す,饶恕
身代金,卖身钱
身の程,身份
実り,结果实
実る,成熟
見栄え,外表美观
見計らう,斟酌
見放す，見離す,抛弃
見晴らす,远眺
見張る,张大眼睛看
身振り,姿态
身震い,发抖
身分,处境
未亡人,寡妇
見本,样本
見舞,探望
見舞う,探望
見守る,注视
見回す,环视
見回る,巡视
未満,未满
耳,耳朵
蚯蚓,蚯蚓
みみっちい,小气
耳鳴り,耳鸣
未明,凌晨
身悶え,因痛苦而扭动身体
身持ち,品行
身元，身許,来历
見物,值得看的东西
宮,神社
脈,血管
脈打つ,脉搏跳动
脈搏，脈拍,脉搏
脈絡,血管
土産,纪念品
都,首都
雅,文雅
雅やか,风雅
見破る,识破
宮参り,参拜神社
見遣る,远眺
妙,巧妙
明後日,后天
苗字，名字,姓
明朝,明晨
明日,明日
冥利,幸福
身寄り,亲属
未来,来世
未了,未完
魅了,吸引
魅力,魅力
味醂,甜料酒
見る,看
診る,看病
見る見る,眼看着
未練,留恋
未練がましい,恋恋不舍的
見分ける,区分
見渡す,远望
民営,民营
民家,民房
民間,民间
民芸,民间工艺
民主,民主
民衆,民众
民宿,投宿的农家
民族,民族
民俗,民俗
皆,各位
民法,民法
民謡,民谣
民話,民间传说
六日,六号
無意識,失去知觉
無意味,无意义
無益,无益
向かい,对面
向かい合う,相对
向かう,面向
迎える,迎接
昔,从前
昔気質,古板
昔馴染み,旧相识
昔話,传说
むかつく,反胃
無関係,无关
無関心,不感兴趣
向き,方向
麦,麦子
向き合う,相对
剥き出し,露出
無気力,没有精神
無菌,无菌
向く,向
剥く,剥
無垢,纯洁
報いる,报答
無口,寡言
浮腫む,浮肿
無欠,没有缺陷
向ける,朝
剥ける,剥落
無限,无限
婿,女婿
惨い，酷い,凄惨的
向こう,那边
無効,无效
向こう見ず,冒失
惨たらしい,悲惨
無言,无言
むさくるしい,乱糟糟
貪る,贪婪
無残,残忍
虫,虫
無視,无视
無地,没有花纹
蒸し暑い,闷热
虫唾，虫酸,胃酸
狢，貉,獾
虫歯,蛀牙
蝕む,虫蛀
無慈悲,残忍
武者,武士
無邪気,天真无邪
むしゃくしゃ,烦闷
矛盾,矛与盾
無償,无偿
無常,无常
無情,无情
無条件,无条件
無性に,非常
無職,无业
無色,无色
毟り取る,拔掉
毟る,揪
寧ろ,宁可
筵,席子
無心,天真
無尽,无穷尽
無神経,感觉迟钝
無尽蔵,无穷无尽
蒸す,闷热
難しい,困难
むず痒い,刺痒的
息子,儿子
結,结合
結び付く,相结合
結び付ける,拴上
結ぶ,系
むずむず,发痒的样子
娘,女儿
噎せ返る,呛得慌
無責任,没有责任
噎び泣く,抽泣
咽ぶ，噎ぶ,呛
噎せる,呛
無線,无线
夢想,梦想
無造作,容易
無駄,徒劳
無断,擅自
鞭,鞭子
無知,无知
無恥,无耻
鞭打つ,鞭打
無茶,蛮横
無茶苦茶,毫无道理
夢中,梦里
睦言,贴心话
六つ,六个
むっつり,绷着脸
睦まじい,和睦
無鉄砲,鲁莽
無頓着,不介意
胸苦しい,胸口堵得慌
胸算用,心中盘算
空しい，虚しい,空虚的
胸,胸
旨,主要
無念,什么也不想
無能,无能
無分別,不顾前后
無法,无法
謀反，謀叛,谋反
無味,无味
無闇,胡乱
無用,无用
村,村
斑,易变
群がる,群聚
紫,紫色
村雨,降雨
蒸らす,焖
むらむら,不由地，忽地
無理,不讲理
無理遣り,硬
無料,免费
無力,无力
群れる,群聚
蒸れる,蒸透
無論,当然
目新しい,新颖
目当て,目标
名,名
明,明
姪,侄女
明暗,明暗
明快,明快
明確,明确
銘柄,商品的商标
明記,载明
名作,名作
名産,有名的土特产
名刺,名片
名詞,名次
明示,指示明白
名所,名胜
名称,名称
命じる,命令
銘じる,铭刻于心
迷信,迷信
名人,名手
瞑想,冥思
命中,命中
酩酊,酩酊
冥土,冥府
鳴動,响动
命日,忌辰
明白,明白
冥福,死后的幸福
名物,名特产
名簿,名册
銘銘,各自
明滅,闪烁
名目,名义
名誉,名誉
明瞭,明了
滅入る,沮丧
命令,命令
迷路,迷途
迷惑,为难
目上,上司
夫婦,夫妇
妾,妾
粧し込む,打扮得漂漂亮亮
目頭,眼角
めかす,装作……样子
目方,重量
眼鏡,眼镜
女神,女神
目薬,眼药
恵まれる,幸运
芽ぐむ，萌む,发芽
恵む,怜悯
盲,盲人
巡らす,转动
巡り合い,意外相逢
捲る,翻开
巡る,转
めげる,屈服
目先,眼前
目指す,瞄准
目覚しい,惊人
目覚める,睡醒
目障り,碍眼
飯,米饭
召し上がる,请吃
目下,比自己地位低
召し使う,使唤
雌蕊,雌蕊
目印,记号
雌,雌性
召す,[呼び寄せる][招く]的敬语
珍しい,罕见
めそめそ,抽泣
目立つ,显眼
目玉,眼球
目茶,不合理
滅茶苦茶,不合道理的
鍍金,金属的
目付き,目光
めっきり,突然
滅多,胡乱
滅亡,灭亡
滅法,非常
目出度い,可喜
愛でる,热爱
目処,目标
娶る,娶妻
目抜き,显眼
目の前,眼前
芽生える,发芽
芽吹く,冒芽
眩暈,头晕
目まぐるしい,瞬息万变
女々しい,懦弱的
目盛り,计算器上的刻度
目安,目标
免疫,免疫
面会,会见
免許,许可
面食い,以貌取人
面喰う,惊慌失措
面識,认识
免職,免职
面する,面向
免ずる,免除
免税,免税
面積,面积
面接,接见
面談,面谈
面倒,费事
面倒くさい,非常费事
雌鳥,雌鸟
面皮,脸皮
綿棒,棉签
面貌,面貌
面目,名誉
綿密,周密
面々,各自
麺類,面食
猛威,来势凶猛
儲かる,得利
設ける,预备
儲ける,得利
毛細血管,毛细血管
申し上げる,“说”的谦让语
申し合わせる,商定
申し入れる,表明
申し込む,提议
申し立てる,申诉
申し付ける,命令
申し出る,提议
申し分,缺点
亡者,死者
猛獣,猛兽
猛暑,酷暑
申し訳,辩解
申す,说
妄想,异想天开
盲腸,盲肠
詣でる,参拜
盲点,盲点
毛頭,一点也
盲導犬,导盲犬
毛髪,毛发
毛布,毛毯
盲目,失明
網羅,网罗
猛烈,猛烈
朦朧,朦胧
燃え上がる,燃烧起来
燃える,燃烧
萌える,发芽
踠く,挣扎
模擬,模拟
捥取る,摘
目撃,目击
木材,木材
黙殺,完全无视
目次,目次
藻屑,海中藻类的碎屑
木製,木制
目前,目前
木造,木造
目的,目标
黙認,默认
目標,目标
黙々,默默地
潜る,潜入水中
目録,产品
目論見,计划
目論む,企图
模型,模型
模糊,模糊
模索,摸索
若し,如果
文字,文字
若しくは,或
若しも,假使
もしもし,喂喂
模写,摹本
模造,仿制
悶える,痛苦
擡げる,拿起
もたもた,态度不明朗
齎す,带来
凭れる,凭靠
餅,年糕
持ち味,原有味道
用いる,使用
糯米,糯米
持ち出す,拿出来
持主,持有者
喪中,服丧期
勿論,理所当然
持つ,持
目下,眼前
勿体,装模作样
勿体無い,可惜
以て,用
持って来い,恰好
以ての外,意外
もっと,更
最も,最
尤も,合乎情理
専ら,专门
縺れる,纠结
弄ぶ,摆弄
持て余す,无法对付
もてなす,应酬
持てる,有人缘
元,本源
もどかしい,令人焦急
戻す,归还
基づく,基于
求む,寻找
求める,寻求
元々,本来
元より,本来
戻る,返回
最中,中心
物,物体
物言い,措辞
物置,库房
物語,谈话
物語る,说话
物臭,做事嫌麻烦
物心,懂事
物腰,言谈
物事,事情
物差し,尺子
物知り,知识渊博
物凄い,可怕
物種,种子
物足りない,不能令人满足的
最早,已经
模範,模范
喪服,丧服
模倣,模仿
揉まれる,互相拥挤
紅葉,枫树
揉む,揉
揉め事,纠纷
揉める,发生争执
木綿,棉花
腿,股
桃,桃子
桃色,桃色
靄,雾霭
萌やし,豆芽菜
燃やす,燃烧
もやもや,朦胧
模様,花样
催す,举办
最寄,最近
貰う,领取
洩らす,露出
漏らす,遗漏
森,森林
盛り上がる,鼓起
盛り上げる,堆积
盛り込む,加进
盛る,盛满
漏る,漏
漏れる,漏出
脆い,脆
諸手,双手
諸刃,双刃
文句,语句
門限,关门时间
門戸,门户
紋章,代表家族或国家的徽章
門前,门口
問題,问题
悶着,争执
問答,回答
門番,看门的人
悶々,苦闷
八重,多重
野営,野营
八百長,假比赛
八百屋,蔬菜店
やおら,从容不迫地
夜学,夜校
館,富人的住宅
やがて,不久
喧しい,吵闹
夜間,夜间
焼き,烧
山羊,山羊
焼き付く,烧粘在一起
焼き鳥,烤鸡肉串
焼き払う,烧尽
焼き物,烤制食品
野球,棒球
冶金,冶金
夜勤,夜班
野禽,野禽
焼く,燃烧
約,约会
厄,灾祸
役員,负责人
薬害,药物引起的副作用
やくざ,黑社会成员
役者,演员
役所,政府机关
躍如,栩栩如生
役職,官职
躍進,跃进
訳す,翻译
薬草,药用植物
約束,商定
役立つ,起作用
役立てる,应用
躍動,跃动
役人,官吏
薬品,药品
役目,任务
薬用,药用
櫓,箭楼
役割,分配任务
自棄,自暴自弃
夜景,夜景
焼石,烧热的石头
火傷,烧伤
焼ける,燃烧
妬ける,嫉妒
夜行,夜行
野菜,蔬菜
矢先,箭头
易しい,容易
優しい,温柔
野師，香具師,江湖艺人
椰子,椰子
野次馬,看热闹
屋敷,住宅
養う,抚养
矢印,箭形符号
社,神社
野心,雄心
安上がり,省钱
安い,便宜
易い,容易
安売り,减价出售
安っぽい,不值钱
休まる,心静
休み,休息
休み休み,断断续续的
休む,休息
休める,使身心得以放松
安物,便宜货
安らか,平稳
安らぐ,安乐
野性,野性
野生,野生
痩せ我慢,逞能
痩せる,消瘦
野戦,野战
屋台,摊床
屋台骨,建筑物的支架
矢鱈,任意
野鳥,野鸟
家賃,房租
奴,小子
八つ当たり,迁怒
厄介,麻烦
躍起,急躁
矢継ぎ早,一个接一个
薬局，薬鋪,药店
奴,奴仆
薬効,药效
奴豆腐,凉拌豆腐丁
窶す,化装
八つ,八个
やっつける,干完
やって来る,“来る”的强调形
やっと,终于
奴ら,这些家伙
窶れる,消瘦
宿,家
雇う,雇佣
野党,在野党
宿す,怀孕
宿賃,房租
宿屋,住处
宿る,居住
柳,柳
柳腰,杨柳细腰
脂,烟油渍
家主,一家之主
屋根,房顶
やばい,危险
矢張り,同样
夜半,半夜
野蛮,野蛮
野卑,粗野
藪,草丛
藪医者,庸医
破る,撕破
破れる,破裂
敗れる,败北
夜分,夜晚
野暮,土气
野望,野心
野暮ったい,土气
山,山岳
病,病
山崩れ,山崩
山師,矿山工作者
疚しい,内疚
大和,日本的古称
山の手,山的附近
山登,登山
山道,山道
闇,黑暗
闇市,黑市
闇相場,黑市价格
病みつく,生病
闇夜,黑夜
止む,停止
病む,患病
已む無く,无可奈何
止める,中止
辞める,辞退
寡，鰥,寡妇
稍,一点点
ややこしい,复杂
ややもすると,动不动就
揶揄,嘲弄
弥生,旧历三月
槍,长枪
遣り方,做法
遣り切れない,干不完
遣りっ放し,工作没做完就放下不管
やり手,干将
遣り遂げる,完成
やり直す,重干
やり場,送去的地方
遣る,送
やる気,干劲
遣る瀬無い,郁郁不乐
やれやれ,哎呀呀
野郎,小子
柔,柔软
柔らか,柔软
柔らかい,不硬的
和らげる,使柔和
やんちゃ,调皮
やんわり,温和
湯上り,刚洗完澡
唯一,唯一
遺言,遗言
由緒,来由
結納,订婚礼
唯美,唯美
唯物,唯物
有,有
結う,系
友愛,友爱
優位,优势
有意義,有意义
誘因,诱因
誘引,引诱
憂鬱,忧郁
有益,有益
優越,优越
遊園地,游乐场
優雅,幽雅
誘拐,诱拐
融解,融化
有害,有害
遊学,游学
夕方,傍晚
勇敢,勇敢
夕刊,晚报
勇気,勇气
友誼,友谊
遊戯,游戏
悠久,悠久
有給,带工资
夕霧,晚雾
優遇,优遇
夕暮れ,傍晚
遊撃,游击
幽玄,玄奥
有限,有限
友好,友好
有効,有效
融合,融合
融資,贷款
有識,博学多知
優秀,优秀
遊女,艺妓
優勝,优胜
友情,友谊
夕食,晚饭
友人,朋友
有数,屈指可数
融通,灵活
夕涼み,傍晚纳凉
有する,拥有
優勢,优势
郵政,邮政
優先,优先
悠然,悠然
郵送,邮寄
雄大,雄伟
夕立,骤雨
勇断,勇断
優等,优等
誘導,诱导
夕凪,傍晚海上变得风平浪静
有能,有才能
誘発,诱发
夕日,夕阳
郵便,邮政
裕福,富裕
夕べ,傍晚
昨夜,昨晚
雄弁,雄辩
有望,有希望
遊牧,游牧
有名,有名
夕焼け,火烧云
夕闇,薄暮
悠々,悠悠然
猶予,犹豫
悠揚,悠然
遊覧,游览
有利,有利可图
憂慮,忧虑
優良,优良
有力,有权势
幽霊,幽灵
優劣,优劣
融和,调和
誘惑,诱惑
故,理由
所以,原因
床,地板
愉快,愉快
床板,地板
浴衣,浴衣
歪む,歪斜
歪める,扭歪
縁,因缘
雪,雪
行き当たる,走到头
雪国,雪国
行き先,目的地
雪だるま,雪人
雪解け,雪融
行き届く,周到
行き悩む,停止
行く,去
逝く,死去
行方,去向
行く先,目的地
湯気,蒸汽
輸血,输血
輸出,输出
柚子,柚子
濯ぐ,洗濯
揺すぶる,晃动
強請,敲诈
譲る,转让
輸送,输送
豊か,富裕
委ねる,委托
油断,疏忽
癒着,粘连
ゆっくり,慢慢
ゆったり,宽敞
茹でる,烫
ゆとり,宽裕
輸入,进口
湯飲み,茶碗
湯葉,豆腐皮
指,手指
指折り,屈指可数
指きり,拉钩立誓
指先,手指脚趾的前端
指差す,用手指向
指輪,戒指
弓,弓
弓矢,弓与箭
夢,梦
夢現,睡梦中
夢心地,宛如做梦
夢にも,做梦也没
夢幻,梦幻
夢見,做梦
夢見る,做梦
由来,起源
揺らぐ,摇晃
ゆらりと,轻轻摇晃
百合,百合
揺り動かす,使摇晃
緩い,不紧
揺るがす,震动
許す,豁免
緩む,松懈
緩める,放松
緩やか,缓慢
揺れる,摇晃
湯沸し,烧水壶
夜明,天亮
宵,夜晚
良い,好
よいしょ,用劲时发出的声音
酔いしれる,酩酊大醉
余韻,回声
酔う,喝醉
用,事情
洋,海洋
容易,简单
用意,准备
養育,培养
要員,工作人员
要因,主要原因
溶液,溶液
八日,八天
妖怪,妖魔
容喙,插嘴
溶解，熔解,融解
洋菓子,西点
羊羹,羊羹
溶岩,熔岩
容器,容器
陽気,活泼
容疑,嫌疑
要求,要求
用件,要紧的事
擁護,拥护
用語,措辞
養護,培养
要項,要点
陽光,阳光
ようこそ,欢迎
溶剤,溶剂
用紙,用纸
要旨,重点
養子,继子
幼児,幼儿
幼時,幼时
楊枝,牙签
用事,事
様式,文体
洋室,西式房间
容赦,宽恕
要所,要冲
養生,养生
洋食,西式料理
要職,要职
養殖,养殖
要人,地位重要之人
用心,注意
様子,情况
要する,需要
要するに,总而言之
妖精,妖怪
要請,要求
陽性,快活
養成,造就
溶接,焊接
夭折,夭折
要素,成分
様相,样子
洋装,西服
様態,情况
容体，容態,病情
用立てる,用
幼稚,年幼
用地,占地
要地,重地
要注意,需要注意之事
腰痛,腰痛
要点,要点
用途,用途
容認,承认
幼年,幼年
曜日,星期
用品,用具
洋風,西洋式
洋服,西装
養分,养分
容貌,容貌
要望,迫切期望
洋間,西式房间
羊毛,羊毛
漸く,总算
要約,大意
洋々,浩渺
要覧,概要
擁立,拥立
容量,容量
用量,用量
要領,要点
用例,实例
予科,预料
余暇,空暇
良かれ悪しかれ,不管是好是坏
予感,预感
予期,预期
余儀ない,无奈
余興,余兴
預金,存款
欲,欲望
よく,充分
翌朝,第二天早餐
抑圧,镇压
抑止,抑制
浴室,浴室
翌日,次日
抑制,抑制
浴槽,浴缸
欲張る,贪得无厌
欲望,欲望
抑揚,抑扬顿挫
よくよく,反复地
翌々,第三
翼々,慎重
余計,多
避ける,回避
預言,预言
横,横
横顔,侧面
横切る,穿过
邪,不正经
寄越す,寄来
汚す,弄脏
横好き,对专业以外的事物很喜爱
横たわる,横躺
横綱,相扑力士中最高等级
横幅,宽度
横目,斜眼
横文字,横着写的文字
汚れ,脏污
汚れる,弄脏
予算,预算
よし,好了
由,缘故
良し悪し,好坏
よじ登る,攀登
誼,友情
予習,预习
捩る,扭
捩れる,扭歪
止す,停止
寄席,曲艺场
寄せ集め,拼凑
寄せる,使靠近
予選,预选
余所，他所,别处
装う,装扮
予想,预计
装い,打扮
装う,穿着
予測,预见
余所見,东张西望
余所者,外来的人
よそよそしい,疏远
夜空,夜空
与太者,愚者
涎,口水
余談,闲话
よち,预知
余地,空地
よちよち,踉跄
四日,四天
欲求,强烈的希求
因って,因而
酔っ払う,喝醉酒
予定,预定
与党,同党
淀む,淤塞
夜中,半夜
世の中,世上
余波,余波
呼ばわる,叫唤
予備,预备
呼びかける,打招呼
呼び出す,叫来
呼び名,习惯称呼
呼び戻す,叫回来
呼ぶ,呼喊
夜更かし,熬夜
夜更け,也深
余分,多余
予報,预报
予防,预防
余程,相当
読み,读
蘇る,复苏
読書き,读和写
読み方,读法
黄泉路,黄泉之路
夜店,夜市
夜道,夜路
読み取る,读懂
読み物,读书
読む,读
嫁,儿媳妇
嫁入り,出嫁
夜もすがら,通宵
四方山話,杂谈
予約,预约
余裕,多余时间
寄り,聚集
より,出发点
寄り集まる,聚集
寄り添う,贴近
拠り所,依靠
寄道,顺路
依る，拠る，因る,按照
寄る,接近
夜,夜间
よれよれ,皱巴巴
鎧,盔甲
蹌踉ける,踉跄
喜ばしい,可喜
喜び,欢喜
喜ぶ,高兴
宜しい,方便
宜しく,好好地
万,一切
よろめく,东倒西歪
輿論,舆论
弱い,软弱
弱気,胆怯
弱腰,软弱
世渡り,处世
弱音,泄气的话
弱み,弱点
弱める,使衰弱
弱弱しい,微弱
弱る,衰弱
雷雨,雷雨
来客,来客
来月,下个月
礼賛,颂扬
来週,下周
来世,死后的世界
来日,来日本
来年,明年
来賓,来宾
来訪,来访
雷鳴,雷鸣
裸眼,肉眼
楽,舒服
烙印,烙印
楽園,乐园
落書き,胡写
落伍,落伍
落語,单口相声
落差,落差
落札,中标
落日,落日
落成,落成
落選,落选
駱駝,骆驼
落第,留级
落胆,失望
楽天家,乐天派
落馬,坠马
落雷,落雷
裸出,裸露
羅針盤,罗盘针
螺旋,螺旋状
裸体,裸体
埒,限度
拉致,强行拉走
落下,坠落
落下傘,降落伞
落花生,花生
楽観,乐观
喇叭,喇叭
辣腕,有本事
羅列,罗列
欄,专栏
乱獲,滥捕
蘭学,兰学
欄干,栏杆
乱雑,杂乱无章
乱世,乱世
濫読,滥读
乱暴,使用暴力
爛漫,花开烂漫之状
乱用,滥用
爛々,炯炯
乱立,乱选
利益,赚头
離縁,离婚
理科,理科
理解,了解
利害,利害
理学,自然科学
力作,力作
力士,大力士
力説,极力主张
力点,力点
力闘,竭力奋战
力む,使劲
力量,能力
陸,陆地
